ID,DAY,TIME_OF DAY,EXACT_TIME(H:M),WEATHER,GRID,CORNER,HEIGHT,NO_OF_PERSONS,WINDOWS_OPEN,HUMIDITY,TEMP_CELCIUS
1,1,MORNING,8:35,CLOUDY,A,A1,LOW,2.0,4,0.74,26.0
2,1,MORNING,8.35,CLOUDY,A,A1,HIGH,2.0,4,0.76,26.2
3,1,MORNING,8:36,CLOUDY,A,A2,LOW,2.0,4,0.7,26.2
4,1,MORNING,8:37,CLOUDY,A,A2,HIGH,2.0,4,0.71,26.0
5,1,MORNING,8:37,CLOUDY,A,A3,LOW,2.0,4,0.7,25.9
6,1,MORNING,8:38,CLOUDY,A,A3,HIGH,2.0,4,0.69,26.0
7,1,MORNING,8:39,CLOUDY,A,A4,LOW,2.0,4,0.71,25.7
8,1,MORNING,8:39,CLOUDY,A,A4,HIGH,2.0,4,0.7,26.0
9,1,MORNING,8:40,CLOUDY,B,B1,LOW,4.0,4,0.74,26.2
10,1,MORNING,8:41,CLOUDY,B,B1,HIGH,4.0,4,0.73,26.0
11,1,MORNING,8:41,CLOUDY,B,B2,LOW,4.0,4,0.72,26.0
12,1,MORNING,8:42,CLOUDY,B,B2,HIGH,4.0,4,0.71,26.0
13,1,MORNING,8:43,CLOUDY,B,B3,LOW,4.0,4,0.7,26.0
14,1,MORNING,8:43,CLOUDY,B,B3,HIGH,4.0,4,0.71,26.2
15,1,MORNING,8:44,CLOUDY,B,B4,LOW,4.0,4,0.69,26.0
16,1,MORNING,8:44,CLOUDY,B,B4,HIGH,4.0,4,0.67,26.0
17,1,MORNING,8:45,CLOUDY,C,C1,LOW,3.0,1,0.7,26.0
18,1,MORNING,8:46,CLOUDY,C,C1,HIGH,3.0,1,0.7,26.2
19,1,MORNING,8:48,CLOUDY,C,C2,LOW,3.0,1,0.68,26.0
20,1,MORNING,8:48,CLOUDY,C,C2,HIGH,3.0,1,0.7,26.4
21,1,MORNING,8:49,CLOUDY,C,C3,LOW,3.0,1,0.74,26.2
22,1,MORNING,8:50,CLOUDY,C,C3,HIGH,3.0,1,0.72,26.4
23,1,MORNING,8:51,CLOUDY,C,C4,LOW,3.0,1,0.69,26.2
24,1,MORNING,8:51,CLOUDY,C,C4,HIGH,3.0,1,0.75,26.2
25,1,MORNING,8:52,CLOUDY,D,D1,LOW,5.0,1,0.72,26.4
26,1,MORNING,8:53,CLOUDY,D,D1,HIGH,5.0,1,0.71,26.0
